variant,ba_code,days,skill_vs_baseline,low,high,dm_p
unweighted_weather,CISO,366,0.0637247721057308,0.025965339179050556,0.0964358567994076,0.00198273777360897
unweighted_weather,ERCO,366,-0.0016562692995121253,-0.03528347245097421,0.029826984307551756,0.9200508959989315
unweighted_weather,FPL,360,0.04201578589936883,-0.00010127406339399621,0.08861818975364241,0.07492296079696513
unweighted_weather,ISNE,366,0.01676821379591864,0.0007457353932059075,0.034494268649550644,0.07088749088699674
unweighted_weather,MISO,366,0.035850056065469094,0.00460709459612043,0.05995857125080969,0.02097035409305936
unweighted_weather,NYIS,366,0.053947200040490695,-0.007836021676542732,0.10707797084956983,0.08734020797894705
unweighted_weather,PJM,365,0.058695823085533116,0.030335994366382575,0.09081177664969266,0.0004570059160740369
unweighted_weather,SOCO,366,0.010684187882801344,-0.013897096186666203,0.036929113176756914,0.42358729115348764
unweighted_weather,SWPP,366,0.018513896840337662,-0.00225295262056338,0.038516196189179425,0.09809777963398963
unweighted_weather,TVA,366,0.01275715168836311,-0.008262358589647516,0.03204550861036189,0.22200601722328434
unweighted_weather,ALL,366,0.031519483489053646,0.015716845881596747,0.04592046499891345,0.00015590289889388348
per_ba_models,CISO,366,0.042396376486386056,-0.012092534474320763,0.09366866906646272,0.10943576629667874
per_ba_models,ERCO,366,-0.036393003843536276,-0.08375838845342783,0.01510766811718138,0.16391459828419855
per_ba_models,FPL,360,-0.010429715489345348,-0.04530048484363083,0.02734139079099696,0.6216453629639258
per_ba_models,ISNE,366,-0.0244797120703677,-0.059844963509196256,0.014860819310220487,0.23661592469011014
per_ba_models,MISO,366,-0.05691447928536819,-0.11727752790474433,-0.0016711261220530393,0.07024145783560629
per_ba_models,NYIS,366,-0.06328421128672579,-0.11541135742798785,-0.00723340568546828,0.022600931659216283
per_ba_models,PJM,365,-0.017896879221806605,-0.09048606858005925,0.05038870479560079,0.6553547778043503
per_ba_models,SOCO,366,-0.06910357483017693,-0.14821091558763613,0.0008228373710810213,0.09671823025172371
per_ba_models,SWPP,366,-0.12763250026424888,-0.1896603776893378,-0.05783431165076162,0.000657468133032276
per_ba_models,TVA,366,-0.05349701859841849,-0.10728854436617359,-0.004160133302420276,0.07700797012329634
per_ba_models,ALL,366,-0.04192683659324836,-0.06799689836718456,-0.009633862047730537,0.0074853794335572295
short_history,CISO,366,0.022097301459841456,-0.018933843202298878,0.05313913165354102,0.2547768538491853
short_history,ERCO,366,-0.013551894762352301,-0.055558707155608136,0.029036214268757774,0.5169009698871627
short_history,FPL,360,-0.03427998894484041,-0.07285284103853576,0.004248767158513722,0.081091086893117
short_history,ISNE,366,-0.037662378476784664,-0.06413641580553409,-0.009900546174501928,0.0046199291194494825
short_history,MISO,366,-0.03788700021070324,-0.08434282976326231,-0.001771117023654158,0.06760623485179977
short_history,NYIS,366,-0.06951312037853308,-0.1082319981285157,-0.037051120963847266,0.00045311606150693853
short_history,PJM,365,-0.05210548209234722,-0.10224907464545765,-0.0038855021957756976,0.022503685782104255
short_history,SOCO,366,-0.027761107225592108,-0.06657142012447925,-0.001045253032595029,0.0680170868323401
short_history,SWPP,366,-0.02191238035145271,-0.05387977572902825,0.00960891586891354,0.16920501775757243
short_history,TVA,366,-0.04524934687481097,-0.07868740892152357,-0.019882866963970933,0.0006918455160142276
short_history,ALL,366,-0.03271933192887011,-0.05716747688494998,-0.010855522783053483,0.0016838954025308944
bulk_latency,CISO,366,-0.11852607526969883,-0.17403662824041824,-0.06891433670815393,0.000011842673094407038
bulk_latency,ERCO,366,-0.1633811772294107,-0.22442464628780473,-0.10669477190987527,1.204323780661401e-6
bulk_latency,FPL,360,-0.11564425419618707,-0.18743705397046184,-0.05578436550008356,0.0005453674925559676
bulk_latency,ISNE,366,-0.13604182896175376,-0.19142224135467878,-0.07613274494323356,0.00001634774730744032
bulk_latency,MISO,366,-0.16910149375837236,-0.2516256354393943,-0.09973854567349891,0.0002749927380247802
bulk_latency,NYIS,366,-0.16356772565373112,-0.23966471054875937,-0.09672939162739533,0.00009375634615961096
bulk_latency,PJM,365,-0.19780102129938282,-0.3002967112899446,-0.11019927011261431,0.00014207479337511095
bulk_latency,SOCO,366,-0.09996094967877456,-0.19663330582592695,-0.013911593622261083,0.014895802819844584
bulk_latency,SWPP,366,-0.22858507287610563,-0.3064991161044995,-0.16231099932963866,4.673396293596653e-6
bulk_latency,TVA,366,-0.16308333259367536,-0.2390861644552676,-0.095556115411192,0.0006309868662648362
bulk_latency,ALL,366,-0.1648612480209215,-0.2163895372056501,-0.12343329092448564,5.886800426276815e-8
