ba_code,model,days,peak_ape,peak_hour_miss_pct
CISO,lgbm_global,366,2.8985807140866684,4.371584699453552
CISO,lgbm_global+cqr,366,2.8985807140866684,4.371584699453552
CISO,operator,366,1.7795113957862276,7.377049180327869
CISO,operator_debiased,366,1.8731668163857116,4.644808743169399
CISO,ridge,366,3.7205195356136844,2.459016393442623
CISO,ridge+cqr,366,3.7205195356136844,2.459016393442623
CISO,seasonal_naive,366,6.84642590192683,10.382513661202186
CISO,seasonal_naive+cqr,366,6.84642590192683,10.382513661202186
ERCO,lgbm_global,366,4.417701637727785,22.131147540983605
ERCO,lgbm_global+cqr,366,4.417701637727785,22.131147540983605
ERCO,operator,366,2.52392398401287,15.300546448087433
ERCO,operator_debiased,366,2.427905741054036,14.754098360655737
ERCO,ridge,366,5.049422212118483,26.50273224043716
ERCO,ridge+cqr,366,5.049422212118483,26.50273224043716
ERCO,seasonal_naive,366,8.577331268584516,34.69945355191257
ERCO,seasonal_naive+cqr,366,8.577331268584516,34.69945355191257
FPL,lgbm_global,356,5.109405261828064,26.96629213483146
FPL,lgbm_global+cqr,356,5.109405261828064,26.96629213483146
FPL,operator,356,2.762200368241242,20.50561797752809
FPL,operator_debiased,356,2.7094189394781814,16.853932584269664
FPL,ridge,356,5.931459045290184,20.786516853932586
FPL,ridge+cqr,356,5.931459045290184,20.786516853932586
FPL,seasonal_naive,356,9.183951501885366,35.39325842696629
FPL,seasonal_naive+cqr,356,9.183951501885366,35.39325842696629
ISNE,lgbm_global,366,4.30402276308752,7.923497267759563
ISNE,lgbm_global+cqr,366,4.30402276308752,7.923497267759563
ISNE,operator,366,1.4788597246248643,2.459016393442623
ISNE,operator_debiased,366,1.455125429835969,3.551912568306011
ISNE,ridge,366,5.547311186815772,4.371584699453552
ISNE,ridge+cqr,366,5.547311186815772,4.371584699453552
ISNE,seasonal_naive,366,8.266430243169415,7.923497267759563
ISNE,seasonal_naive+cqr,366,8.266430243169415,7.923497267759563
MISO,lgbm_global,366,3.1322744317340363,22.404371584699454
MISO,lgbm_global+cqr,366,3.1322744317340363,22.404371584699454
MISO,operator,366,2.95743280070415,9.289617486338798
MISO,operator_debiased,366,1.8160900790641465,9.836065573770492
MISO,ridge,366,4.048801673744986,31.420765027322407
MISO,ridge+cqr,366,4.048801673744986,31.420765027322407
MISO,seasonal_naive,366,7.643332048837962,31.967213114754102
MISO,seasonal_naive+cqr,366,7.643332048837962,31.967213114754102
NYIS,lgbm_global,365,3.995286836393732,11.232876712328768
NYIS,lgbm_global+cqr,365,3.995286836393732,11.232876712328768
NYIS,operator,365,2.6865161359540064,5.7534246575342465
NYIS,operator_debiased,365,1.7531620276290296,5.47945205479452
NYIS,ridge,365,5.165077306626316,7.9452054794520555
NYIS,ridge+cqr,365,5.1650773066263165,7.9452054794520555
NYIS,seasonal_naive,365,8.084149842716755,12.054794520547945
NYIS,seasonal_naive+cqr,365,8.084149842716755,12.054794520547945
PJM,lgbm_global,364,3.590608224724807,23.35164835164835
PJM,lgbm_global+cqr,364,3.590608224724807,23.35164835164835
PJM,operator,364,1.7192138205905338,17.582417582417584
PJM,operator_debiased,364,1.8912830138461376,11.263736263736265
PJM,ridge,364,5.233154813627289,28.57142857142857
PJM,ridge+cqr,364,5.233154813627289,28.57142857142857
PJM,seasonal_naive,364,9.730997606021614,37.637362637362635
PJM,seasonal_naive+cqr,364,9.730997606021614,37.637362637362635
SOCO,lgbm_global,366,4.847333159978745,20.491803278688526
SOCO,lgbm_global+cqr,366,4.847333159978745,20.491803278688526
SOCO,operator,366,0.774697042337127,3.825136612021858
SOCO,operator_debiased,366,0.6530075577043806,4.371584699453552
SOCO,ridge,366,6.683996660991213,27.595628415300546
SOCO,ridge+cqr,366,6.683996660991213,27.595628415300546
SOCO,seasonal_naive,366,11.829821857727309,37.704918032786885
SOCO,seasonal_naive+cqr,366,11.829821857727309,37.704918032786885
SWPP,lgbm_global,366,4.484830364791516,28.142076502732237
SWPP,lgbm_global+cqr,366,4.484830364791516,28.142076502732237
SWPP,operator,366,3.027605361913298,15.846994535519126
SWPP,operator_debiased,366,3.0144576865538015,17.48633879781421
SWPP,ridge,366,5.400134358114147,32.51366120218579
SWPP,ridge+cqr,366,5.400134358114147,32.51366120218579
SWPP,seasonal_naive,366,9.541855993940407,37.15846994535519
SWPP,seasonal_naive+cqr,366,9.541855993940407,37.15846994535519
TVA,lgbm_global,366,5.077994849307415,25.40983606557377
TVA,lgbm_global+cqr,366,5.077994849307415,25.40983606557377
TVA,operator,366,2.527158766670313,12.841530054644808
TVA,operator_debiased,366,2.6651235232461272,13.661202185792352
TVA,ridge,366,7.029690371804752,30.05464480874317
TVA,ridge+cqr,366,7.029690371804752,30.05464480874317
TVA,seasonal_naive,366,12.516804389478592,45.62841530054645
TVA,seasonal_naive+cqr,366,12.516804389478592,45.62841530054645
