ba_code,model,hours,coverage_80,width_80_pct,pinball_80,coverage_95,width_95_pct,pinball_95
CISO,lgbm_global,8781,68.46600614964127,9.154442286897602,210.31328801455015,87.04020043275253,14.763908450574283,80.5070499482298
CISO,lgbm_global+cqr,8781,79.72896025509623,11.241328360433394,204.40535964076494,94.52226397904566,18.52718395884493,73.2969422369475
CISO,ridge,8781,76.76802186539119,12.98685336871833,246.6319939777044,92.84819496640473,19.7318832096366,87.02015410387996
CISO,ridge+cqr,8781,78.47625555175948,13.607307882153581,244.78040554446736,94.21478191549937,20.933719621032864,86.23493282328651
CISO,seasonal_naive,8781,78.69263181869947,21.45116280230331,433.6712772586563,94.77280491971301,37.83135798224416,155.48413200002722
CISO,seasonal_naive+cqr,8781,78.10044414075846,21.77596484466124,426.05132271544966,93.81619405534677,36.7371739988853,157.80156834266782
ERCO,lgbm_global,8783,69.47512239553683,9.835115656537122,570.1456597052362,86.75851075942161,16.257918108362677,258.65105977846
ERCO,lgbm_global+cqr,8783,80.05237390413298,13.136321957925922,566.4884497036065,93.14584993737903,26.15318171805021,253.56469944840146
ERCO,ridge,8783,77.93464647614711,15.68717572636558,684.4042955146974,93.5785039280428,26.186773127705862,267.1076728396216
ERCO,ridge+cqr,8783,78.6063987248093,17.3634258128778,701.9000895973061,93.07753614937948,29.54166043956168,267.37206946275387
ERCO,seasonal_naive,8783,81.39587840145737,27.026477171752425,1092.6058540267295,95.26357736536491,47.66275539012421,407.07270353403646
ERCO,seasonal_naive+cqr,8783,78.00296026414665,26.96237167729955,1141.9264900133837,92.04144369805306,46.18566659356645,435.5929658453669
FPL,lgbm_global,8547,71.12437112437112,12.735717758523947,173.66793125593682,89.09558909558909,20.26361924580921,64.50054589919839
FPL,lgbm_global+cqr,8547,80.4024804024804,15.335060883276583,170.18917455068578,95.08599508599508,24.964834967765466,60.81016701912956
FPL,ridge,8547,75.62887562887563,16.928820461723856,213.48438648466066,92.3949923949924,26.488454432937345,75.85591507401058
FPL,ridge+cqr,8547,79.91107991107991,19.154117715913884,211.2051388043754,94.51269451269451,29.02701022595035,72.43352119253893
