ba_code,model,hours,mae,rmse,mape,bias_pct,skill_vs_operator,skill_vs_operator_debiased
CISO,lgbm_global,8781,861.8827514088298,1199.9150713670824,3.461768594023126,0.5677349473874493,0.4332261068438279,-0.3052688183260053
CISO,lgbm_global+cqr,8781,861.8827514088298,1199.9150713670824,3.461768594023126,0.5677349473874493,0.4332261068438279,-0.3052688183260053
CISO,operator,8781,1520.6818130053525,1953.3670994091444,6.271299835860791,-3.3917190095562515,0.0,-1.302979784508783
CISO,operator_debiased,8781,660.3105347404116,913.920497913906,2.666049473282064,-0.13553405552787276,0.5657799487748016,0.0
CISO,ridge,8781,1102.7415807540901,1486.3777240504157,4.401906280117348,0.7777130874150683,0.27483739772311677,-0.6700348135254448
CISO,ridge+cqr,8781,1102.7415807540901,1486.3777240504157,4.401906280117348,0.7777130874150683,0.27483739772311677,-0.6700348135254448
CISO,seasonal_naive,8781,1714.7235508484227,2564.708036040326,6.596478409386435,0.07610145750096624,-0.12760180083931028,-1.5968441523086305
CISO,seasonal_naive+cqr,8781,1714.7235508484227,2564.708036040326,6.596478409386435,0.07610145750096624,-0.12760180083931028,-1.5968441523086305
ERCO,lgbm_global,8783,2319.528097849964,3615.9985608788875,4.396950341443137,1.4332313709027755,-0.8407805432971489,-0.8841749911886192
ERCO,lgbm_global+cqr,8783,2319.528097849964,3615.9985608788875,4.396950341443137,1.4332313709027755,-0.8407805432971489,-0.8841749911886192
ERCO,operator,8783,1260.0785608561994,1763.1719844241845,2.417914462035153,0.33884124256389603,0.0,-0.023573938810621975
ERCO,operator_debiased,8783,1231.0576823794404,1704.3202448147006,2.3781266925024016,-0.06658143373110706,0.02303100725484908,0.0
ERCO,ridge,8783,2838.337382278331,3969.39161700584,5.4035218882232465,0.786974148296035,-1.2525082724601986,-1.3056087646455952
ERCO,ridge+cqr,8783,2838.337382278331,3969.39161700584,5.4035218882232465,0.786974148296035,-1.2525082724601986,-1.3056087646455952
ERCO,seasonal_naive,8783,4258.633041102129,6080.89982965057,8.100709638668821,0.5764124878212601,-2.3796567717241923,-2.4593285936617226
ERCO,seasonal_naive+cqr,8783,4258.633041102129,6080.89982965057,8.100709638668821,0.5764124878212601,-2.3796567717241923,-2.4593285936617226
FPL,lgbm_global,8547,794.7249110016801,1064.9511285871847,4.899908620303704,1.060263449279061,-0.4875367589637698,-1.1352436554803935
FPL,lgbm_global+cqr,8547,794.7249110016801,1064.9511285871847,4.899908620303704,1.060263449279061,-0.4875367589637698,-1.1352436554803935
FPL,operator,8547,534.2556452556453,689.1010105646361,3.2191119254179985,0.617926673759405,0.0,-0.43542244762261983
FPL,operator_debiased,8547,372.19401587350956,534.6565387021459,2.1824776739494403,0.08500646688559195,0.3033409769672869,0.0
FPL,ridge,8547,944.283025565319,1237.2680718871861,5.951015678453291,1.2376393353551234,-0.7674741183379965,-1.5370720250543588
FPL,ridge+cqr,8547,944.283025565319,1237.2680718871861,5.951015678453291,1.2376393353551234,-0.7674741183379965,-1.5370720250543588
FPL,seasonal_naive,8547,1413.1011466011466,1809.0246958219227,8.746491953240232,0.4453946173244554,-1.6449905754855756,-2.7966788458022664
FPL,seasonal_naive+cqr,8547,1413.1011466011466,1809.0246958219227,8.746491953240232,0.4453946173244554,-1.6449905754855756,-2.7966788458022664
ISNE,lgbm_global,8783,719.5712932664477,1008.4473806982688,5.589233823699621,1.0571136730073734,-1.349335594233421,-1.9946236650904883
ISNE,lgbm_global+cqr,8783,719.5712932664477,1008.4473806982688,5.589233823699621,1.0571136730073734,-1.349335594233421,-1.9946236650904883
ISNE,operator,8783,306.2871456222247,430.51950829510315,2.485805221628637,-1.5022233308805684,0.0,-0.2746683242874981
ISNE,operator_debiased,8783,240.287720174917,323.95871068996644,1.9022213554738374,0.00974791861087492,0.21548219176233907,0.0
ISNE,ridge,8783,872.1194409116073,1178.2093441090783,6.779600668513359,0.978735890584872,-1.8473915845860582,-2.629479859714635
ISNE,ridge+cqr,8783,872.1194409116073,1178.2093441090783,6.779600668513359,0.978735890584872,-1.8473915845860582,-2.629479859714635
ISNE,seasonal_naive,8783,1360.4196174427873,1902.6431268288325,10.351172394601528,1.0131047661161534,-3.441647770359687,-4.661627720519685
ISNE,seasonal_naive+cqr,8783,1360.4196174427873,1902.6431268288325,10.351172394601528,1.0131047661161534,-3.441647770359687,-4.661627720519685
MISO,lgbm_global,8784,2170.2175434189476,3366.3779214308915,2.900507209263626,0.7146202259927839,0.04913095582745319,-0.6558503161314793
MISO,lgbm_global+cqr,8784,2170.2175434189476,3366.3779214308915,2.900507209263626,0.7146202259927839,0.04913095582745319,-0.6558503161314793
MISO,operator,8784,2282.3516621129324,2747.0858254189416,3.1095531966519734,2.8740481323567435,0.0,-0.7414073223641562
MISO,operator_debiased,8784,1310.636307084309,1732.3934114136239,1.7500382684363311,0.004050123259292559,0.42575181167701326,0.0
MISO,ridge,8784,3063.7814098811805,4197.383475162605,4.1064273346368285,0.434329441256931,-0.34237920507167763,-1.3376289771011947
MISO,ridge+cqr,8784,3063.7814098811805,4197.383475162605,4.1064273346368285,0.434329441256931,-0.34237920507167763,-1.3376289771011947
MISO,seasonal_naive,8784,5138.480532786885,7189.091787884694,6.800007641866237,0.40252271241060866,-1.2513973714418025,-2.920599868180169
MISO,seasonal_naive+cqr,8784,5138.480532786885,7189.091787884694,6.800007641866237,0.40252271241060866,-1.2513973714418025,-2.920599868180169
