ba_code,model,days,peak_ape,peak_hour_miss_pct
CISO,nhits,366,4.937922314219796,8.19672131147541
CISO,nhits+cqr,366,4.937922314219796,8.19672131147541
CISO,operator,366,1.7795113957862276,7.377049180327869
CISO,operator_debiased,366,1.8731668163857116,4.644808743169399
ERCO,nhits,366,5.246530113150671,29.23497267759563
ERCO,nhits+cqr,366,5.246530113150671,29.23497267759563
ERCO,operator,366,2.52392398401287,15.300546448087433
ERCO,operator_debiased,366,2.427905741054036,14.754098360655737
FPL,nhits,357,7.2290062998589635,29.13165266106443
FPL,nhits+cqr,357,7.2290062998589635,29.13165266106443
FPL,operator,357,2.75684151848091,20.448179271708682
FPL,operator_debiased,357,2.703632790579182,17.086834733893557
ISNE,nhits,366,5.932871344138207,24.316939890710383
ISNE,nhits+cqr,366,5.932871344138207,24.316939890710383
ISNE,operator,366,1.4788597246248643,2.459016393442623
ISNE,operator_debiased,366,1.455125429835969,3.551912568306011
MISO,nhits,366,3.7361485596260966,25.956284153005466
MISO,nhits+cqr,366,3.7361485596260966,25.956284153005466
MISO,operator,366,2.95743280070415,9.289617486338798
MISO,operator_debiased,366,1.8160900790641465,9.836065573770492
NYIS,nhits,365,4.9253034614850595,22.465753424657535
NYIS,nhits+cqr,365,4.9253034614850595,22.465753424657535
NYIS,operator,365,2.6865161359540064,5.7534246575342465
NYIS,operator_debiased,365,1.7531620276290296,5.47945205479452
PJM,nhits,364,4.6541319575649895,23.35164835164835
PJM,nhits+cqr,364,4.6541319575649895,23.35164835164835
PJM,operator,364,1.7192138205905338,17.582417582417584
PJM,operator_debiased,364,1.8912830138461376,11.263736263736265
SOCO,nhits,366,6.494235831226661,30.327868852459016
SOCO,nhits+cqr,366,6.494235831226661,30.327868852459016
SOCO,operator,366,0.774697042337127,3.825136612021858
SOCO,operator_debiased,366,0.6530075577043806,4.371584699453552
SWPP,nhits,366,4.790119481197786,31.967213114754102
SWPP,nhits+cqr,366,4.790119481197786,31.967213114754102
SWPP,operator,366,3.027605361913298,15.846994535519126
SWPP,operator_debiased,366,3.0144576865538015,17.48633879781421
TVA,nhits,366,6.678549044880004,35.51912568306011
TVA,nhits+cqr,366,6.678549044880004,35.51912568306011
TVA,operator,366,2.527158766670313,12.841530054644808
TVA,operator_debiased,366,2.6651235232461272,13.661202185792352
