slice,value,model,hours,mape
temperature,hot 5%,operator_debiased,4296,1.9990571155764143
temperature,hot 5%,ridge,4296,4.955425208466288
temperature,hot 5%,ridge+cqr,4296,4.955425208466288
temperature,hot 5%,seasonal_naive,4296,10.887386791841758
temperature,hot 5%,seasonal_naive+cqr,4296,10.887386791841758
temperature,no weather,lgbm_global,5039,7.848475247525785
temperature,no weather,lgbm_global+cqr,5039,7.848475247525785
temperature,no weather,nhits,5039,7.0663528739657275
temperature,no weather,nhits+cqr,5039,7.0663528739657275
temperature,no weather,operator,5039,3.340546426282369
temperature,no weather,operator_debiased,5039,2.4780445919501655
temperature,no weather,ridge,5039,8.643227859020655
temperature,no weather,ridge+cqr,5039,8.643227859020655
temperature,no weather,seasonal_naive,5039,10.388953966694597
temperature,no weather,seasonal_naive+cqr,5039,10.388953966694597
temperature,normal,lgbm_global,73889,3.5819319329980077
temperature,normal,lgbm_global+cqr,73889,3.5819319329980077
temperature,normal,nhits,73889,4.97177460447524
temperature,normal,nhits+cqr,73889,4.97177460447524
temperature,normal,operator,73889,3.020312560203126
temperature,normal,operator_debiased,73889,2.02091520945539
temperature,normal,ridge,73889,5.2929339029562605
temperature,normal,ridge+cqr,73889,5.2929339029562605
temperature,normal,seasonal_naive,73889,8.251594933720597
temperature,normal,seasonal_naive+cqr,73889,8.251594933720597
