ba_code,model,hours,mae,rmse,mape,bias_pct,skill_vs_operator,skill_vs_operator_debiased
CISO,lgbm_global,8781,840.7682455496558,1167.967253854719,3.3856303637339225,0.6031012749550488,0.4471110008950331,-0.2732921880160335
CISO,lgbm_global+cqr,8781,840.7682455496558,1167.967253854719,3.3856303637339225,0.6031012749550488,0.4471110008950331,-0.2732921880160335
CISO,nhits,8781,1216.756527765915,1698.0256330456205,4.839281719799101,-0.5554505926688929,0.199861195576992,-0.8427034913872145
CISO,nhits+cqr,8781,1216.756527765915,1698.0256330456205,4.839281719799101,-0.5554505926688929,0.199861195576992,-0.8427034913872145
CISO,operator,8781,1520.6818130053525,1953.3670994091444,6.271299835860791,-3.3917190095562515,0.0,-1.302979784508783
CISO,operator_debiased,8781,660.3105347404116,913.920497913906,2.666049473282064,-0.13553405552787276,0.5657799487748016,0.0
CISO,ridge,8781,1102.7415807540904,1486.3777240504162,4.40190628011735,0.7777130874150768,0.27483739772311666,-0.6700348135254452
CISO,ridge+cqr,8781,1102.7415807540904,1486.3777240504162,4.40190628011735,0.7777130874150768,0.27483739772311666,-0.6700348135254452
CISO,seasonal_naive,8781,1714.7235508484227,2564.708036040326,6.596478409386435,0.07610145750096624,-0.12760180083931028,-1.5968441523086305
CISO,seasonal_naive+cqr,8781,1714.7235508484227,2564.708036040326,6.596478409386435,0.07610145750096624,-0.12760180083931028,-1.5968441523086305
ERCO,lgbm_global,8783,2099.19475562351,3271.4055051239843,3.9814392821429836,1.235216142536319,-0.6659237136747627,-0.7051960973640954
ERCO,lgbm_global+cqr,8783,2099.19475562351,3271.4055051239843,3.9814392821429836,1.235216142536319,-0.6659237136747627,-0.7051960973640954
ERCO,nhits,8783,2603.249563254298,3950.947761631667,4.90502173074943,0.6423083298414737,-1.0659422706830592,-1.1146446673584194
ERCO,nhits+cqr,8783,2603.249563254298,3950.947761631667,4.90502173074943,0.6423083298414737,-1.0659422706830592,-1.1146446673584194
ERCO,operator,8783,1260.0785608561994,1763.1719844241845,2.417914462035153,0.33884124256389603,0.0,-0.023573938810621975
ERCO,operator_debiased,8783,1231.0576823794404,1704.3202448147006,2.3781266925024016,-0.06658143373110706,0.02303100725484908,0.0
ERCO,ridge,8783,2838.337382278331,3969.39161700584,5.4035218882232465,0.7869741482960392,-1.2525082724601986,-1.3056087646455952
ERCO,ridge+cqr,8783,2838.337382278331,3969.39161700584,5.4035218882232465,0.7869741482960392,-1.2525082724601986,-1.3056087646455952
ERCO,seasonal_naive,8783,4258.633041102129,6080.89982965057,8.100709638668821,0.5764124878212601,-2.3796567717241923,-2.4593285936617226
ERCO,seasonal_naive+cqr,8783,4258.633041102129,6080.89982965057,8.100709638668821,0.5764124878212601,-2.3796567717241923,-2.4593285936617226
FPL,lgbm_global,8547,720.5276046549294,979.0708027329033,4.438955265998606,0.9887408031302514,-0.34865697920730754,-0.9358925020970819
FPL,lgbm_global+cqr,8547,720.5276046549294,979.0708027329033,4.438955265998606,0.9887408031302514,-0.34865697920730754,-0.9358925020970819
FPL,nhits,8547,1113.4953423898737,1497.475481067523,6.723875352706947,1.2743168754850214,-1.0841994881627466,-1.9917067306323806
FPL,nhits+cqr,8547,1113.4953423898737,1497.475481067523,6.723875352706947,1.2743168754850214,-1.0841994881627466,-1.9917067306323806
FPL,operator,8547,534.2556452556453,689.1010105646361,3.2191119254179985,0.617926673759405,0.0,-0.43542244762261983
