ba_code,model,hours,coverage_80,width_80_pct,pinball_80,coverage_95,width_95_pct,pinball_95
CISO,nhits,8782,81.80368936460943,16.18184354570079,272.9903126490086,95.54771122751082,28.148600101026975,102.13273616087953
CISO,nhits+cqr,8782,79.68572079253018,15.26843766998922,273.46081730341535,94.88726941471191,27.204429266418305,102.2000906714707
ERCO,nhits,8784,72.74590163934427,12.70381673864012,629.3383673217996,90.7559198542805,23.373537070728744,264.6390554987451
ERCO,nhits+cqr,8784,79.24635701275045,14.988492633562908,626.2732425654955,94.35336976320583,29.38965002479477,261.28132599655186
FPL,nhits,8578,75.7402657962229,18.462816526583833,233.0600117721433,94.07787363021683,36.14866921827128,92.61174296981449
FPL,nhits+cqr,8578,78.5964094194451,20.0816043281056,233.57250467959912,95.16204243413384,37.22672670847778,92.04665906305333
ISNE,nhits,8784,73.04189435336977,19.745730778770405,210.89534319823773,90.35746812386157,34.85264544295197,82.16295698892009
ISNE,nhits+cqr,8784,78.10792349726776,21.893630791498843,207.68592539580575,94.66074681238615,39.329485064543256,78.52701284273078
MISO,nhits,8784,84.43761384335154,11.871004128379058,591.8685887293302,96.40255009107469,21.31747128090774,244.20182777502072
MISO,nhits+cqr,8784,79.36020036429872,10.936387624567345,593.4395233209884,94.58105646630237,21.242347022922964,245.23471736942707
NYIS,nhits,8760,79.68036529680366,15.664301469428224,187.97959891820062,94.70319634703196,27.636341777250948,68.59140318291375
NYIS,nhits+cqr,8760,79.47488584474885,15.542345125396578,187.41041623189568,94.96575342465754,26.55666617405082,68.22369019390788
PJM,nhits,8736,80.3228021978022,12.91541575910198,901.4738294887892,94.31089743589743,22.753844735581737,364.2941587063857
PJM,nhits+cqr,8736,78.88049450549451,12.86928554969518,912.7786784972027,94.73443223443223,23.5206665037757,363.01440606309393
SOCO,nhits,8783,75.82830467949448,15.968521792086536,357.02905067740056,92.41716953205055,29.01689510316334,153.12609288023344
SOCO,nhits+cqr,8783,79.68803370146874,17.91019566394442,356.34968126347593,94.47796880337015,33.082761752642625,146.97225124563704
SWPP,nhits,8784,78.85928961748634,12.03779089135611,341.0623469785263,92.96448087431693,21.320080335630426,149.9771564170963
SWPP,nhits+cqr,8784,79.55373406193078,12.628862507732846,337.68539652172984,95.03642987249545,26.006058747141072,146.96595398949802
TVA,nhits,8784,76.18397085610201,16.899672299472847,268.3843708142557,91.99681238615665,30.484618400342658,113.61018337534647
TVA,nhits+cqr,8784,79.10974499089254,19.31677582053877,269.95186572465735,94.0459927140255,35.23816007651227,105.31307903352334
