slice,value,model,hours,mape
temperature,hot 5%,operator_debiased,4296,2.162819328410001
temperature,hot 5%,ridge,4296,4.998227234693488
temperature,hot 5%,ridge+cqr,4296,4.998227234693488
temperature,hot 5%,seasonal_naive,4296,11.31868986151733
temperature,hot 5%,seasonal_naive+cqr,4296,11.31868986151733
temperature,no weather,lgbm_global,5039,7.490698969925966
temperature,no weather,lgbm_global+cqr,5039,7.490698969925966
temperature,no weather,nhits,5039,6.8864932677182695
temperature,no weather,nhits+cqr,5039,6.8864932677182695
temperature,no weather,operator,5039,3.340546426282369
temperature,no weather,operator_debiased,5039,2.4780445919501655
temperature,no weather,ridge,5039,8.60272915656017
temperature,no weather,ridge+cqr,5039,8.60272915656017
temperature,no weather,seasonal_naive,5039,10.388953966694597
temperature,no weather,seasonal_naive+cqr,5039,10.388953966694597
temperature,normal,lgbm_global,73889,3.4677447608671117
temperature,normal,lgbm_global+cqr,73889,3.4677447608671117
temperature,normal,nhits,73889,4.4585338675433945
temperature,normal,nhits+cqr,73889,4.4585338675433945
temperature,normal,operator,73889,3.0117228818707784
temperature,normal,operator_debiased,73889,2.0083380641946857
temperature,normal,ridge,73889,5.2330744118324555
temperature,normal,ridge+cqr,73889,5.2330744118324555
temperature,normal,seasonal_naive,73889,8.218194610589292
temperature,normal,seasonal_naive+cqr,73889,8.218194610589292
