ba_code,model,hours,coverage_80,width_80_pct,pinball_80,coverage_95,width_95_pct,pinball_95
CISO,lgbm_global,8781,69.03541737843071,8.538728493708792,194.54224658526707,88.24735223778613,14.13494820865476,76.97480138246115
CISO,lgbm_global+cqr,8781,79.84284250085412,10.447707448844746,189.181260643463,94.67031089853091,17.875663959602356,71.1471894887573
CISO,nhits,8781,81.80161712788976,16.180157317448977,272.98703901045224,95.54720419086664,28.14693724953063,102.13251617539382
CISO,nhits+cqr,8781,79.68340735679308,15.26678375276678,273.45892470915544,94.8866871654709,27.20266824957109,102.19990113847773
CISO,ridge,8781,77.32604486960483,12.866180426925535,237.84802596671116,93.25817105113313,19.84638486296118,82.64297062657276
CISO,ridge+cqr,8781,78.77234939072999,13.308672500771683,236.97926790599652,94.16922901719622,20.633817002174542,83.05315864116315
CISO,seasonal_naive,8781,78.69263181869947,21.45116280230331,433.6712772586563,94.77280491971301,37.83135798224416,155.48413200002722
CISO,seasonal_naive+cqr,8781,78.10044414075846,21.77596484466124,426.05132271544966,93.81619405534677,36.7371739988853,157.80156834266782
ERCO,lgbm_global,8783,69.9647045428669,9.659373765436538,537.5515216588323,87.45303427075031,15.738047701271464,240.77585952862754
ERCO,lgbm_global+cqr,8783,79.25537971080496,12.708383140396998,536.8550725205627,93.49880450871001,24.058429998042584,233.0640970422096
ERCO,nhits,8783,72.75418421951497,12.70472140026688,629.3718482037388,90.75486735739497,23.374692906867104,264.662026509508
ERCO,nhits+cqr,8783,79.2439940794717,14.989157564894702,626.3247317482993,94.35272685870432,29.390780980076837,261.30053855759627
ERCO,ridge,8783,78.11681657747923,15.687725299193115,680.9061884641762,93.8745303427075,26.266737715845544,261.15815289271944
ERCO,ridge+cqr,8783,79.02766708413982,17.32142504512218,697.0719587544883,93.24832061937835,29.213517226563603,264.522362614535
ERCO,seasonal_naive,8783,81.39587840145737,27.026477171752425,1092.6058540267295,95.26357736536491,47.66275539012421,407.07270353403646
ERCO,seasonal_naive+cqr,8783,78.00296026414665,26.96237167729955,1141.9264900133837,92.04144369805306,46.18566659356645,435.5929658453669
FPL,lgbm_global,8547,74.55247455247455,11.991209018623934,158.0614800043818,90.19539019539019,19.390806439977137,60.079635672291246
FPL,lgbm_global+cqr,8547,80.15678015678016,13.833975950646035,156.75349833736524,94.47759447759448,23.131613338619854,57.08918419506458
FPL,nhits,8547,75.83947583947584,18.488488819908248,233.10598403896745,94.06809406809407,36.18874775918456,92.7602686648036
FPL,nhits+cqr,8547,78.65917865917866,20.09956292488392,233.72026782229418,95.14449514449514,37.25302397839953,92.18025727143163
FPL,ridge,8547,75.41827541827541,16.79237309965317,216.0713671456519,91.82169182169183,26.474762061672596,76.61557830961819
FPL,ridge+cqr,8547,80.05148005148006,19.197260857736538,214.35050024575594,94.2084942084942,29.13376971332534,72.53702274105665
FPL,seasonal_naive,8547,78.83467883467884,27.326418002401102,310.5841101535227,96.32619632619632,46.316811719673694,106.00220140725732
FPL,seasonal_naive+cqr,8547,79.7004797004797,28.240051928021284,312.81685917138384,94.11489411489411,40.987396864456784,105.63964287837004
ISNE,lgbm_global,8783,68.1202322668792,13.759971778366737,174.085768880101,84.41307070477058,21.096314788773455,74.49907247137887
ISNE,lgbm_global+cqr,8783,78.41284299214391,17.228535819897925,168.8423014300072,94.4096550153706,29.800535209870013,63.14347940269843
ISNE,nhits,8783,73.03882500284641,19.745056269269604,210.9051112561865,90.35637026073096,34.85202616719517,82.16672250217152
