ba_code,model,hours,mae,rmse,mape,bias_pct,skill_vs_operator,skill_vs_operator_debiased
CISO,nhits,8782,1766424.8576322664,35143079.50604947,7770.815363810015,7765.506004978623,-1160.6639529568527,-2674.321415417856
CISO,nhits+cqr,8782,1766424.8576322664,35143079.50604947,7770.815363810015,7765.506004978623,-1160.6639529568527,-2674.321415417856
CISO,operator,8782,1520.5988385333637,1953.2741657627844,6.271048829397621,-3.3917958988829144,0.0,-1.3030080330961464
CISO,operator_debiased,8782,660.2664066651483,913.8730983394636,2.665905392043503,-0.13535912247255846,0.5657852748973664,0.0
ERCO,nhits,8784,15207135.355120549,306206057.6240478,24590.059055833164,24585.66202781362,-12067.64908656095,-12352.511500635235
ERCO,nhits+cqr,8784,15207135.355120549,306206057.6240478,24590.059055833164,24585.66202781362,-12067.64908656095,-12352.511500635235
ERCO,operator,8784,1260.0528233151183,1763.1061367781085,2.4179485733696664,0.33849329292057134,0.0,-0.023603504587062174
ERCO,operator_debiased,8784,1230.9969804406282,1704.2394950953292,2.3780647572271274,-0.0667826525153467,0.02305922603946553,0.0
FPL,nhits,8578,1153.0119703474732,1560.031172288297,6.984020530592309,1.430808500003661,-1.1597010475708123,-2.096445617409105
FPL,nhits+cqr,8578,1153.0119703474732,1560.031172288297,6.984020530592309,1.430808500003661,-1.1597010475708123,-2.096445617409105
FPL,operator,8578,533.8757286080671,688.6785149780018,3.2184986111375915,0.6207257263309678,0.0,-0.4337380726336748
FPL,operator_debiased,8578,372.36629116458863,534.8857081389081,2.1859401754672234,0.09402956876516831,0.30252253247131045,0.0
ISNE,nhits,8784,921.6347789660177,1306.016298928449,7.0582012730918375,-0.16053071464590551,-2.009199318304819,-2.835248512742512
ISNE,nhits+cqr,8784,921.6347789660177,1306.016298928449,7.0582012730918375,-0.16053071464590551,-2.009199318304819,-2.835248512742512
ISNE,operator,8784,306.272427140255,430.4991441245678,2.4857289623100534,-1.5022590458209495,0.0,-0.2745079694166066
ISNE,operator_debiased,8784,240.30640411016665,323.9690062473241,1.9024771413976573,0.010219150053463024,0.215383486022657,0.0
MISO,nhits,8784,75712231.62791902,1102629652.4611218,86803.15864711432,86799.85783871867,-33171.90358218808,-57766.53720210247
MISO,nhits+cqr,8784,75712231.62791902,1102629652.4611218,86803.15864711432,86799.85783871867,-33171.90358218808,-57766.53720210247
MISO,operator,8784,2282.3516621129324,2747.0858254189416,3.1095531966519734,2.8740481323567435,0.0,-0.7414073223641562
MISO,operator_debiased,8784,1310.636307084309,1732.3934114136239,1.7500382684363311,0.004050123259292559,0.42575181167701326,0.0
NYIS,nhits,8760,21742679.751601405,340778340.29961336,112560.45232392862,112555.59631689778,-47690.67843289575,-71489.17110111551
NYIS,nhits+cqr,8760,21742679.751601405,340778340.29961336,112560.45232392862,112555.59631689778,-47690.67843289575,-71489.17110111551
NYIS,operator,8760,455.90091324200915,560.1964727913359,2.6289873973385443,-2.1926543054616485,0.0,-0.4990072366965499
NYIS,operator_debiased,8760,304.1352316928801,415.5536945709833,1.7445604953643938,0.004841836826242017,0.3328918129816647,0.0
PJM,nhits,8736,146827616.47557968,2130681811.2784195,127643.99412793189,127639.20287900939,-44508.62753780121,-77297.33033958223
PJM,nhits+cqr,8736,146827616.47557968,2130681811.2784195,127643.99412793189,127639.20287900939,-44508.62753780121,-77297.33033958223
PJM,operator,8736,3298.7833104395604,4197.602952197772,3.5855573763082584,-1.4859129401997,0.0,-0.7366654051178967
PJM,operator_debiased,8736,1899.49272941014,2537.406130407762,2.056580268573218,-0.0011310444015231362,0.42418384275230425,0.0
SOCO,nhits,8783,10793513.903569484,215410273.0746905,28328.596640896903,28323.104026064328,-22343.79177382664,-43860.11019717649
SOCO,nhits+cqr,8783,10793513.903569484,215410273.0746905,28328.596640896903,28323.104026064328,-22343.79177382664,-43860.11019717649
SOCO,operator,8783,483.04383468063304,646.9933863573942,1.9142371051130664,-1.6004737370010307,0.0,-0.9629232011261248
SOCO,operator_debiased,8783,246.0839193318984,407.95085415855846,0.9481754017563057,-0.0065645741118389635,0.4905557184171535,0.0
SWPP,nhits,8784,16050276.899468094,322480139.5762492,43314.079761198,43310.00192326599,-18650.076519530096,-18818.248946481428
SWPP,nhits+cqr,8784,16050276.899468094,322480139.5762492,43314.079761198,43310.00192326599,-18650.076519530096,-18818.248946481428
SWPP,operator,8784,860.5549863387978,1294.8971562059564,2.5607749572547918,-0.00679318506135427,0.0,-0.009016767840464013
SWPP,operator_debiased,8784,852.8649015224893,1280.1237916051978,2.5776789066840937,-0.00791043590995079,0.008936192269393128,0.0
TVA,nhits,8784,12911858.02768706,257846461.63326874,42914.03974824639,42908.01077423618,-28388.352034465166,-27922.148119733316
TVA,nhits+cqr,8784,12911858.02768706,257846461.63326874,42914.03974824639,42908.01077423618,-28388.352034465166,-27922.148119733316
TVA,operator,8784,454.8134107468124,672.6862419943552,2.3763800202716694,0.9141944715724063,0.0,0.016421787794447473
TVA,operator_debiased,8784,462.4069597139098,665.6453432141592,2.403880442194059,-0.04030402858011844,-0.016695965395190804,0.0
