ba_code,model,hours,coverage_80,width_80_pct,pinball_80,coverage_95,width_95_pct,pinball_95
CISO,nhits,8782,77.49943065360965,17148.0858563044,231937.60441771097,93.41835572762469,29206.98538366766,83276.77130362703
CISO,nhits+cqr,8782,79.13914825780004,17148.600213100166,231937.51667707312,95.09223411523571,29209.00727739689,83275.740920696
ERCO,nhits,8784,72.51821493624772,60568.2996755254,2204984.6743333377,92.11065573770492,103903.5294812939,797813.1411161362
ERCO,nhits+cqr,8784,78.4153005464481,60570.18667362813,2204974.766234495,94.92258652094718,103907.17746031263,797808.2104776885
FPL,nhits,8578,76.69619958032175,22.73878156815348,282.41611131742354,94.55584052226627,43.081756308523545,109.28049027026468
FPL,nhits+cqr,8578,79.86710188855211,24.40836533458073,283.11266092561453,94.96386103986943,44.09410646533038,110.50428801003139
ISNE,nhits,8784,72.84836065573771,19.835565752371135,228.1683461840687,91.16575591985428,36.11253807467492,91.19619991253853
ISNE,nhits+cqr,8784,78.11930783242259,22.28740021119796,223.72976868009306,94.02322404371584,39.9744511482354,85.52700926080648
MISO,nhits,8784,81.55737704918033,186674.23611028402,9869299.608534468,96.09517304189436,317265.4590378068,3450487.1930468753
MISO,nhits+cqr,8784,79.09836065573771,186673.951234068,9869295.459798086,95.13888888888889,317264.2924903407,3450480.6541970973
NYIS,nhits,8760,76.95205479452055,234438.63188768175,2787376.4755746047,94.44063926940639,398743.3556389369,963871.8175677734
NYIS,nhits+cqr,8760,78.50456621004567,234439.41078385222,2787376.304299143,94.21232876712328,398743.2504988446,963870.6388626648
PJM,nhits,8736,75.2518315018315,270641.8475617192,18935728.31449164,92.62820512820512,459910.32400563406,6613686.884213122
PJM,nhits+cqr,8736,78.66300366300366,270643.2841146994,18935724.489533853,94.40247252747253,459912.5993521515,6613682.502399004
SOCO,nhits,8783,77.4792212228168,63763.815843163975,1446230.4520367382,94.73983832403506,110067.03874997149,523012.57512037223
SOCO,nhits+cqr,8783,80.12068769213253,63765.28844341975,1446229.1385578627,95.16110668336559,110068.46717638725,523010.50139997294
SWPP,nhits,8784,77.8346994535519,104134.04760285783,2288747.830891782,93.13524590163935,178140.0311113441,820247.4066773244
SWPP,nhits+cqr,8784,79.00728597449908,104134.80158040211,2288743.287119658,95.86748633879782,178143.00245780795,820237.2335331378
TVA,nhits,8784,75.89936247723134,97303.94590981682,1733277.5169509968,92.31557377049181,167452.88761238373,630395.1513531479
TVA,nhits+cqr,8784,79.18943533697632,97306.74947913921,1733274.8540462635,94.50136612021858,167457.1319190894,630386.1867556495
